GPA,Problems_Solved,Certifications,CF_Rating,Skill_Score,Placed
8.17,777,1,1689,74.8,1
7.63,610,4,0,71.99,1
8.3,435,2,1227,69.35,1
9.04,346,2,1143,61.92,0
7.55,599,2,1544,72.43,0
7.55,531,2,1471,69.38,1
9.09,792,0,939,45.26,1
8.4,468,1,0,93.59,1
7.35,855,2,0,100.0,1
8.21,459,1,0,79.33,0
7.36,269,1,814,43.04,0
7.35,294,1,0,46.07,0
7.96,521,1,1247,88.1,1
6.12,225,1,1599,71.71,0
6.28,804,0,0,81.47,0
7.27,470,1,0,88.87,0
6.89,367,3,0,28.4,0
8.02,435,2,1431,87.48,1
6.98,316,0,0,72.4,0
6.55,116,3,0,39.72,0
9.0,369,1,1132,41.09,1
7.56,808,0,1334,89.75,1
7.81,447,1,0,100.0,1
6.54,596,1,0,74.28,0
7.29,639,4,0,63.51,1
7.84,395,1,966,74.63,0
6.77,500,0,1386,100.0,0
8.07,192,2,0,71.31,0
7.24,761,1,0,96.23,1
7.5,741,0,1477,100.0,1
7.24,482,2,1259,83.73,0
9.32,523,1,0,60.3,1
7.74,393,1,1366,35.83,0
6.85,647,3,0,62.45,0
8.45,606,1,0,57.15,1
6.71,55,0,1462,70.39,0
7.93,340,0,1559,84.57,0
6.08,150,1,984,64.51,0
6.62,155,3,939,35.83,0
7.92,692,0,1219,100.0,1
8.38,417,0,1112,63.36,1
7.9,508,1,1281,87.39,0
7.65,409,1,1515,72.35,0
7.49,195,0,800,66.97,0
6.49,123,1,0,71.28,0
7.14,294,0,1160,52.84,0
7.36,317,1,1362,93.79,0
8.65,375,1,1386,38.41,1
8.04,352,0,0,48.31,0
6.25,935,2,1263,100.0,0
8.03,658,1,1315,93.12,1
7.42,433,1,0,100.0,0
7.17,358,3,1111,70.69,0
8.27,414,0,0,100.0,0
8.63,604,0,0,42.01,0
8.54,418,3,1227,43.45,0
7.04,582,1,1076,96.19,0
7.49,459,3,1077,38.55,0
8.03,1019,2,0,91.81,1
8.58,409,4,1438,94.7,1
7.34,650,2,0,91.02,1
7.59,227,4,0,64.3,0
6.81,249,1,0,55.98,0
6.73,893,1,1274,94.76,0
8.44,632,3,1347,91.82,1
8.9,557,2,1158,64.06,1
7.69,1135,0,1099,100.0,1
8.6,425,0,0,93.57,1
8.06,681,1,1385,77.79,1
7.2,667,2,800,83.04,0
8.06,851,1,1103,98.72,1
9.06,281,3,0,77.27,1
7.72,384,3,1113,87.93,1
9.08,527,0,1439,55.79,1
5.52,730,0,1254,73.62,0
8.45,527,2,944,66.24,1
7.82,696,3,0,64.76,1
7.5,202,1,1369,27.11,0
7.83,347,0,0,10.0,0
6.06,675,0,1108,100.0,0
7.56,357,1,1322,38.2,0
8.05,415,1,0,100.0,1
9.01,880,2,1351,100.0,1
7.31,240,1,1536,56.49,0
7.06,258,2,0,77.65,0
7.32,183,0,1248,70.82,0
8.53,875,2,0,67.96,1
8.03,652,4,1276,80.78,1
7.3,612,2,1346,59.88,1
8.19,359,1,1047,82.44,0
7.83,199,2,1392,48.66,0
8.57,209,2,891,61.43,1
7.15,726,1,956,81.24,0
7.47,509,0,0,77.79,0
7.42,556,2,1137,100.0,1
6.51,401,2,1410,66.22,0
8.0,283,0,0,90.68,0
7.97,356,1,800,78.84,0
7.75,241,3,1497,93.01,1
7.55,218,2,1392,56.95,0
6.55,560,0,0,91.32,0
7.39,162,0,0,60.29,0
7.46,229,2,0,10.0,0
7.07,326,1,1087,46.24,0
7.61,413,1,0,83.17,0
8.09,217,3,1242,74.01,0
9.35,249,2,0,39.06,1
7.9,499,0,1260,79.37,0
7.97,454,0,0,83.23,0
7.69,744,1,800,84.07,1
6.12,349,1,0,83.54,0
7.73,516,3,1191,87.49,1
7.8,282,1,0,65.58,0
9.84,379,1,1194,59.94,1
7.59,204,3,1693,84.01,0
8.01,292,1,0,75.94,0
7.72,343,0,1151,41.09,0
6.76,666,4,1324,86.06,1
8.72,305,1,0,44.18,0
8.39,1058,3,1270,78.03,1
8.42,569,1,0,64.72,1
6.98,452,3,1248,73.98,0
8.94,460,1,1144,80.89,1
6.56,317,0,0,59.5,0
8.25,323,1,1684,60.62,1
9.61,282,2,1011,56.22,1
6.91,227,1,1251,85.03,0
7.27,817,0,1073,30.62,0
7.83,527,1,1315,69.91,0
7.32,816,1,969,100.0,1
6.43,238,2,0,74.86,0
7.81,240,3,1697,89.94,0
6.85,364,5,1065,28.88,0
8.15,288,3,1517,41.68,0
6.97,411,2,1165,81.72,0
9.07,239,3,1581,95.57,1
7.08,115,2,1731,36.78,0
7.48,465,2,1198,65.84,0
8.44,882,1,0,98.31,1
6.7,440,1,1458,43.55,0
7.94,529,1,1299,86.59,1
8.86,463,4,0,20.01,1
6.38,371,3,1175,79.68,0
7.91,201,1,1055,43.14,0
7.97,285,1,0,57.45,0
8.41,736,3,0,97.48,1
6.7,181,1,0,71.19,0
6.63,290,1,1401,66.44,0
8.19,719,1,0,100.0,1
8.0,438,1,0,38.52,0
7.96,447,0,1606,76.97,1
8.04,354,3,0,53.36,1
7.17,532,1,0,94.64,1
7.95,634,0,0,94.1,1
8.0,279,2,1266,80.63,1
7.14,174,0,945,94.87,0
9.34,228,0,0,86.65,1
8.15,526,2,1158,72.89,1
6.74,435,0,1438,72.37,0
8.31,1203,3,0,100.0,1
6.92,377,0,0,72.8,0
8.42,409,1,0,85.46,1
8.73,498,0,1199,30.31,1
7.05,434,1,1463,100.0,0
8.57,402,1,0,72.3,0
8.1,288,0,1242,34.07,0
8.45,435,1,0,54.12,1
9.36,469,2,989,31.17,1
7.54,384,1,1231,48.56,0
7.11,558,2,0,74.48,0
6.99,366,0,1688,99.93,0
7.06,173,3,0,70.13,0
